,exp_gap,electron density,cell volume,lattice constants a_0,lattice constants a_1,lattice constants b_0,lattice constants b_1,lattice constants c_0,lattice constants c_1,atomic radii(empirical)_0,atomic radii(empirical)_1,atomic radii(clementi)_0,atomic radii(clementi)_1,ionic radii(pauling)_0,ionic radii(pauling)_1,ionic radii(shannon)_0,ionic radii(shannon)_1,covalent radii_0,covalent radii_1,metal radii(waber)_0,metal radii(waber)_1,valence electron distance(schubert)_0,valence electron distance(schubert)_1,core electron distance(schubert)_0,core electron distance(schubert)_1,pseudo-potential radii(zunger)_0,pseudo-potential radii(zunger)_1,first ionization energy_0,first ionization energy_1,second ionization energy_0,second ionization energy_1,third ionization energy_0,third ionization energy_1,atomization enthalpy_0,atomization enthalpy_1,vaporization enthalpy_0,vaporization enthalpy_1,fusion enthalpy_0,fusion enthalpy_1,cohesive energy(Brewer)_0,cohesive energy(Brewer)_1,total energy_0,total energy_1,electron number_0,electron number_1,valence electron number_0,valence electron number_1,effective nuclear charge(slater)_0,effective nuclear charge(slater)_1,effective nuclear charge(clementi)_0,effective nuclear charge(clementi)_1,periodic number_0,periodic number_1,group number_0,group number_1,electronegativity(martynov&batsanov)_0,electronegativity(martynov&batsanov)_1,electronegativity(pauling)_0,electronegativity(pauling)_1,electronegativity(alfred-rochow)_0,electronegativity(alfred-rochow)_1,"atomic volume(villars,daams)_0","atomic volume(villars,daams)_1"
0,2.68,3.273960935,25.04611436,4.0853,6.7265,4.0853,4.6451,4.0853,8.7023,1.6,1.1,1.65,0.94,1.12,0.37,1.15,0.39,1.45,1.2,1.445,1.17,2.9,1.6,1.3,1.01,2.375,1.2,7.602,11.855,21.57,21.871,34.954,36.119,2.96,1.164,2.68,0.317,0.118,0.06,2.95,1.22,2.832,1.629,47,35,11,7,4.2,7.6,8.03,9.03,5,4,11,7,1.07,2.83,1.93,2.96,1.42,2.74,1.706,3.277
1,3.25,2.880749924,22.21643728,4.0853,6.2235,4.0853,4.4561,4.0853,8.1785,1.6,1,1.65,0.79,1.12,0.28,1.15,0.27,1.45,1.02,1.445,0.91,2.9,1.41,1.3,1,2.375,1.01,7.602,13.011,21.57,23.889,34.954,39.749,2.96,1.266,2.68,0.212,0.118,0.033,2.95,1.4,2.832,1.8,47,17,11,7,4.2,6.1,8.03,6.12,5,3,11,7,1.07,2.98,1.93,3.16,1.42,2.83,1.706,2.886
2,4.8,2.892329606,22.12749193,5.028,5.403,5.028,3.429,5.028,5.086,2.15,0.6,2.53,0.48,1.26,0.1,1.35,0.1,2.15,0.66,2.243,0.89,3.35,1.2,1.44,0.85,3.402,0.465,5.23,13.665,10.036,35.235,36.878,55.12,1.872,2.592,1.569,0.071,0.083,0.002,1.9,2.6,1.925,4.935,56,8,2,6,2.85,4.55,7.58,4.45,6,2,2,6,1.08,3.32,0.89,3.44,0.97,3.5,6.299,1.736
3,3.88,2.13936806,33.65479805,5.028,10.437,5.028,12.845,5.028,24.369,2.15,1,2.53,0.88,1.26,0.32,1.35,0.37,2.15,1.05,2.243,1.27,3.35,1.44,1.44,1.03,3.402,1.1,5.23,10.396,10.036,23.41,36.878,34.954,1.872,2.9,1.569,0.1,0.083,0.018,1.9,2.85,1.925,4.128,56,16,2,6,2.85,5.45,7.58,5.48,6,3,2,6,1.08,2.65,0.89,2.58,0.97,2.44,6.299,2.552
4,3.6,2.408312412,37.37056685,5.028,9.054,5.028,9.083,5.028,11.601,2.15,1.15,2.53,1.03,1.26,0.41,1.35,0.5,2.15,1.2,2.243,1.4,3.35,1.77,1.44,1.04,3.402,1.285,5.23,9.785,10.036,21.268,36.878,30.93,1.872,2.362,1.569,0.936,0.083,0.056,1.9,2.25,1.925,3.489,56,34,2,6,2.85,6.95,7.58,8.29,6,4,2,6,1.08,2.54,0.89,2.55,0.97,2.48,6.299,2.727
5,3.4,2.424484749,44.54554728,5.028,4.4572,5.028,4.4572,5.028,5.929,2.15,1.4,2.53,1.23,1.26,0.51,1.35,0.97,2.15,1.38,2.243,1.6,3.35,1.82,1.44,1.24,3.402,1.67,5.23,9.04,10.036,18.668,36.878,28.059,1.872,2.046,1.569,1.088,0.083,0.182,1.9,2.23,1.925,3.142,56,52,2,6,2.85,6.95,7.58,10.81,6,5,2,6,1.08,2.38,0.89,2.1,0.97,2.01,6.299,3.394
6,7,1.976556941,14.16604775,5.5884,5.403,5.5884,3.429,5.5884,5.086,1.8,0.6,1.94,0.48,0.96,0.1,1,0.1,1.76,0.66,1.974,0.89,2.7,1.2,1.25,0.85,3,0.465,6.134,13.665,11.908,35.235,51.085,55.12,1.853,2.592,1.566,0.071,0.089,0.002,1.84,2.6,1.997,4.935,20,8,2,6,2.85,4.55,4.4,4.45,4,2,2,6,1.17,3.32,1,3.44,1.04,3.5,4.633,1.736
7,5.8,1.541916688,23.34756494,5.5884,10.437,5.5884,12.845,5.5884,24.369,1.8,1,1.94,0.88,0.96,0.32,1,0.37,1.76,1.05,1.974,1.27,2.7,1.44,1.25,1.03,3,1.1,6.134,10.396,11.908,23.41,51.085,34.954,1.853,2.9,1.566,0.1,0.089,0.018,1.84,2.85,1.997,4.128,20,16,2,6,2.85,5.45,4.4,5.48,4,3,2,6,1.17,2.65,1,2.58,1.04,2.44,4.633,2.552
8,4.87,2.035762438,26.52568836,5.5884,9.054,5.5884,9.083,5.5884,11.601,1.8,1.15,1.94,1.03,0.96,0.41,1,0.5,1.76,1.2,1.974,1.4,2.7,1.77,1.25,1.04,3,1.285,6.134,9.785,11.908,21.268,51.085,30.93,1.853,2.362,1.566,0.936,0.089,0.056,1.84,2.25,1.997,3.489,20,34,2,6,2.85,6.95,4.4,8.29,4,4,2,6,1.17,2.54,1,2.55,1.04,2.48,4.633,2.727
9,4.07,2.200123041,32.72544247,5.5884,4.4572,5.5884,4.4572,5.5884,5.929,1.8,1.4,1.94,1.23,0.96,0.51,1,0.97,1.76,1.38,1.974,1.6,2.7,1.82,1.25,1.24,3,1.67,6.134,9.04,11.908,18.668,51.085,28.059,1.853,2.046,1.566,1.088,0.089,0.182,1.84,2.23,1.997,3.142,20,52,2,6,2.85,6.95,4.4,10.81,4,5,2,6,1.17,2.38,1,2.1,1.04,2.01,4.633,3.394
