name,element number,lattice constants a,lattice constants b,lattice constants c,atomic radii (empirical),atomic radii (clementi),ionic radii (pauling),ionic radii (shannon),covalent radii,covalent radii (sigle bond),covalent radii (double bond),Van der Waals radius,metal radii (waber),valence electron distance (schubert),core electron distance (schubert),pseudo-potential radii (zunger),first ionization energy,second ionization energy,third ionization energy,electronic affinity,atomization enthalpy,vaporization enthalpy,fusion enthalpy,cohesive energy (Brewer),total energy,electron number,valence electron number,s,p,d,f,effective nuclear charge (slater),effective nuclear charge (clementi),periodic number,group number,electronegativity (martynov&batsanov),electronegativity (pauling),electronegativity (alfred-rochow),modulus compression,thermal conductivity,specific heat,temperature melting,temperature boiling,"atomic volume(villars,daams)","atomic weight(villars,daams)",atomic density,Orbital energy 1s,Orbital energy 2s,Orbital energy 2p,Orbital energy 3s,Orbital energy 3p,Orbital energy 3d,Orbital energy 4s,Orbital energy 4p,Orbital energy 4d,Orbital energy 4f,Orbital energy 5s,Orbital energy 5p,Orbital energy 5d,Orbital energy 5f,Orbital energy 6s,Orbital energy 6p,Orbital energy 6d,Orbital energy 6f,Orbital energy 7s,lowest energy of the atomic orbitals,2nd lowest energy of the atomic orbitals
abbrTex,n,$a$,$b$,$c$,$r_{ae}$,$r_{ac}$,$r_{ip}$,$r_{is}$,$r_{c}$,$r_{csb}$,$r_{cdb}$,$r_{vdw}$,$r_m$,$d_{ve}$,$d_{ce}$,$r_{pp}$,$IE_1$,$IE_2$,$IE_3$,$EA$,$H_a$,$H_v$,$H_f$,$E_{coh}$,$E_{tot}$,$e$,$VEC$,$s$,$p$,$d$,$f$,$N_{cs}$,$N_{cc}$,$N_p$,$N_g$,$\chi_m$,$\chi_p$,$\chi_a$,$E_p$,$T_c$,$H_s$,$T_m$,$T_b$,$V_a$,$m$,$\rho_a$,$OB_{1s}$,$OB_{2s}$,$OB_{2p}$,$OB_{3s}$,$OB_{3p}$,$OB_{3d}$,$OB_{4s}$,$OB_{4p}$,$OB_{4d}$,$OB_{4f}$,$OB_{5s}$,$OB_{5p}$,$OB_{5d}$,$OB_{5f}$,$OB_{6s}$,$OB_{6p}$,$OB_{6d}$,$OB_{6f}$,$OB_{7s}$,$E_{low}$,$E_{low2}$
abbr,n,a,b,c,rae,rac,rip,ris,rc,rcsb,rcdb,rvdw,rm,dve,dce,rpp,IE1,IE2,IE3,EA,Ha,Hv,Hf,Ecoh,Etot,e,VEC,s,p,d,f,Ncs,Ncc,Np,Ng,Xm,Xp,Xa,Ep,Tc,Hs,Tm,Tb,Va,m,rho_a,OB_1s,OB_2s,OB_2p,OB_3s,OB_3p,OB_3d,OB_4s,OB_4p,OB_4d,OB_4f,OB_5s,OB_5p,OB_5d,OB_5f,OB_6s,OB_6p,OB_6d,OB_6f,OB_7s,Elow,Elow2
H,1,4.7,4.7,3.4,0.25,0.53,,,0.31,0.32,,1.2,0.78,1.86,1.86,1.25,13.645,,,0.754195,2.267,0.005,0.006,2.3,1.121,1,1,1,0,0,0,1,1,1,1,2.1,2.2,2.2,0.002,0.1805,14.3,14,20.28,1.902,1.00794,0.0899,0.233471112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,
He,2,4.242,4.242,4.242,,0.31,0.04,,0.28,0.46,,1.43,0.8,1.76,1.76,0.2,24.672,54.6,,-0.52,,0.001,0,0.01,,2,2,2,0,0,0,1.7,1.69,1,8,0.05,0.05,0.05,,0.1513,5.1931,0.95,4.22,1.906,4.0026,0.1785,0.570425274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,
Li,3,3.51,3.51,3.51,1.45,1.67,0.6,0.76,1.28,1.33,1.24,2.12,1.562,3.06,1.75,1.61,5.41,75.899,122.876,0.618049,1.658,1.536,0.031,1.63,1.908,3,1,1,0,0,0,1.3,1.28,2,1,0.9,0.98,0.97,0.116,85,3.57,453,1620,2.162,6.941,535,0.193764093,0.011947206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.194
Be,4,2.2858,2.2858,3.5843,1.05,1.12,0.3,0.45,0.96,1.02,0.9,1.98,1.128,1.8,1.33,1.08,9.354,18.273,154.419,-0.52,3.373,3.212,0.083,3.32,3.743,4,2,2,0,0,0,1.95,1.91,2,2,1.45,1.57,1.47,1.003,190,1.82,1550,3243,0.811,9.01218,1848,0.394030189,0.205751299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.394
B,5,5.06,5.06,5.06,0.85,0.87,0.2,0.27,0.85,0.85,0.78,1.91,0.98,1.51,1.16,0.795,8.326,25.241,38.064,0.279723,5.852,5.247,0.52,5.77,6.678,5,3,2,1,0,0,2.6,2.42,2,3,1.9,2.04,2.01,1.78,27,1.03,2573,3931,0.789,10.811,2460,6.564350151,0.344701165,0.136603426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,0.345
C,6,2.464,2.464,6.711,0.7,0.67,0.15,0.16,0.76,0.75,0.67,1.77,0.916,1.41,1,0.64,11.299,24.471,48.048,1.2621226,7.454,7.393,1.092,7.37,9.224,6,4,2,2,0,0,3.25,3.14,2,4,2.37,2.55,2.5,5.45,140,0.71,3820,5100,0.882,12.0107,2260,9.947722775,0.500884248,0.199186096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0.501
N,7,3.861,3.861,6.265,0.65,0.56,0.12,0.16,0.71,0.71,0.6,1.66,0.88,1.33,1.03,0.54,14.584,29.702,47.611,-0.000725,4.916,0.058,0.004,4.92,4.634,7,5,2,3,0,0,3.9,3.83,2,5,2.85,3.04,3.07,0.012,0.02583,1.04,63,77.4,1.289,14.0067,1.251,14.01150773,0.677510326,0.266810848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.678
O,8,5.403,3.429,5.086,0.6,0.48,0.1,0.1,0.66,0.63,0.57,1.5,0.89,1.2,0.85,0.465,13.665,35.235,55.12,1.4611136,2.592,0.071,0.002,2.6,4.935,8,6,2,4,0,0,4.55,4.45,2,6,3.32,3.44,3.5,0.011,0.02658,0.919,55,90.19,1.736,15.9994,1.429,1.910246277,0.871363138,0.338381162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0.871
