VEC,G,delta_G,delta_G,delta_Xr,epilson,delta,Delta,y
8.75,80.175,0.296573247,4.80E-02,0.047854387,0.386949717,0.003528884,0.015491304,734
8.7625,80.26625,0.288777745,0.045225187,0.046721113,0.379848818,0.005852502,0.015927018,745
8.775,80.3575,0.280797774,0.042529549,0.045550947,0.371451983,0.01219211,0.016265752,765
8.7875,80.44875,0.272616977,0.039870197,0.044341012,0.36176012,0.01987806,0.0165095,825
8.833333333,80.78333333,0.240563384,0.030426065,0.039504826,0.315159755,0.039225846,0.016598258,923
9.5,71.85,0.191069542,0.025796029,0.026477734,0.075098366,0.031480112,0.016376453,846
9.325,74.0225,0.221455177,0.028286845,0.032258677,0.157184508,0.03092029,0.01663093,817
9.15,76.195,0.241832055,0.029939294,0.036701666,0.230514946,0.029907781,0.016753668,846
8.975,78.3675,0.255496358,0.03312082,0.040240702,0.295057585,0.028727142,0.016759386,856
8.333333333,86.33333333,0.270452503,0.037104943,0.048067105,0.455691256,0.021527278,0.015933371,891
9,80.425,0.295808189,0.046913695,0.046024702,0.434503153,0.032199062,0.017995619,1018
8.95,80.45375,0.288219337,0.044551328,0.045387525,0.413726992,0.031781221,0.017714039,1016
8.9,80.4825,0.280435986,0.04210485,0.044688073,0.392846337,0.030753414,0.017398383,927
8.85,80.51125,0.272441449,0.039670067,0.043922895,0.371861844,0.029183332,0.017047313,925
8.666666667,80.61666667,0.240975602,0.030841438,0.040482871,0.294041597,0.020632095,0.015429827,819
8.65,81.1075,0.277490341,0.039986916,0.043172585,0.361187774,0.030940634,0.014836553,911
8.725,80.82375,0.271005734,0.038664254,0.043209198,0.356910284,0.02925318,0.015827675,888
9,79.78333333,0.244404896,0.032989737,0.041996338,0.325326269,0.020511179,0.018131019,824
8.134268537,89.40661323,0.176202789,0.020526607,0.041866161,0.399256802,0.030811121,0.017084695,523
8.6,86.06,0.17230812,0.022642651,0.043088003,0.355100797,0.021097759,0.018225264,429
8.471698113,77.46415094,0.312201622,0.044944725,0.051213698,0.55597009,0.028370176,0.067404856,1104
8.12195122,87.05365854,0.208639463,0.024856348,0.04585212,0.481416005,0.028601857,0.044365239,317
7.772727273,82.90454545,0.280989036,0.042502063,0.053082824,0.705361958,0.032487253,0.086495618,460
8.428571429,68.22857143,0.30098538,0.052354002,0.053630464,0.727465206,0.053964749,0.120093251,927
7.941176471,84.90588235,0.248265385,0.029876286,0.049849859,0.601119236,0.029671553,0.069210157,281
7.8,83.22857143,0.275900857,0.040193469,0.052587874,0.688970697,0.03193942,0.08396881,505
8.769230769,77.29615385,0.301197354,0.046379329,0.051836104,0.508036466,0.003590948,0.057715509,946
8.660377358,76.33207547,0.315540262,0.049165613,0.054251313,0.571744718,0.004679213,0.070315988,1014
8.555555556,75.4037037,0.328902744,0.051819351,0.056404544,0.630699158,0.006103061,0.080718184,1316
8.454545455,74.50909091,0.341409894,0.05434801,0.058336106,0.685254128,0.007765462,0.089514563,1717
8.357142857,73.64642857,0.353161894,0.056758524,0.060077421,0.735736232,0.009583312,0.097065428,2127
8.263157895,72.81403509,0.364240553,0.059057344,0.061653575,0.782446372,0.011489041,0.103613926,2263
8.25,76.0625,0.297102942,0.053717302,0.059643484,0.808526211,0.019824651,0.113960752,1529
8.272727273,75.6,0.338714045,0.050133802,0.055208674,0.668546106,0.031703105,0.086135246,1349
8.8,80.54,0.264216538,0.037246907,0.043088003,0.350774194,0.027183855,0.016659303,777
8.25,88.575,0.176079181,0.021381441,0.042612413,0.391758677,0.02880502,0.01755404,507
8.33,78.359,0.292885515,0.037589193,0.054230617,0.650232719,0.0248158,0.085339122,2033
8.538461538,75.55384615,0.191501469,0.032812817,0.044223613,0.427007482,0.033813867,0.089898191,637
7.75,88.105,0.167374623,0.020356458,0.037713323,0.324299705,0.034713571,0.017778721,816
8,86.76,0.166139269,0.021040061,0.041283361,0.328068894,0.030402709,0.019780227,737
7.625,88.7775,0.167433693,0.020161848,0.035127226,0.318670389,0.036062759,0.016519147,1518
8,86.76,0.166139269,0.021040061,0.041283361,0.328068894,0.030402709,0.019780227,678
7.875,87.4325,0.166949801,0.020767463,0.039734841,0.327432288,0.032785704,0.018863083,899
8.181818182,85.78181818,0.164221849,0.021175722,0.042809918,0.324541138,0.026392374,0.020822746,783
8.333333333,84.96666667,0.161896511,0.021038643,0.043497126,0.317571325,0.02280417,0.021427058,770
8.571428571,83.68571429,0.156732017,0.020329632,0.043595739,0.29922259,0.017159631,0.021872937,857
7.75,87.95,0.18072106,0.022614793,0.043262984,0.340344498,0.006758895,0.01818299,810
7.875,87.355,0.173820083,0.022650037,0.042448176,0.337701556,0.0154494,0.019202052,759
7.75,87.95,0.18072106,0.022614793,0.043262984,0.340344498,0.006758895,0.01818299,770
7.8125,87.6525,0.177361066,0.023421143,0.042898351,0.339897033,0.009028926,0.018748215,809
7.9375,87.0575,0.170084618,0.021857939,0.041910663,0.333758645,0.023162434,0.01954595,797
8.166666667,85.96666667,0.154448033,0.018848588,0.039144406,0.304360774,0.041928924,0.019860529,741
8.100050025,80.59154577,0.018036533,0.000154244,0.027820395,0.088020779,0.043891315,0.019174347,758
8.2,80.35,0.021744126,0.000273461,0.030060131,0.091475125,0.042657107,0.02005907,816
8.299850075,80.10869565,0.024571673,0.000378027,0.031815434,0.094030726,0.040775778,0.020798459,727
8.4,79.86666667,0.026802328,0.000463163,0.03317468,0.095694691,0.038393522,0.021396968,765
8.5,79.625,0.028561076,0.000517536,0.034184145,0.096457153,0.035579202,0.021851467,784
8.8,78.9,0.031660319,0.000528818,0.035426342,0.093351273,0.02542977,0.022329155,792
8.25,76.0625,0.297102942,0.053717302,0.059643484,0.808526211,0.019824651,0.113960752,1538
7.88372093,84.22325581,0.259796441,0.032950525,0.051001128,0.637474531,0.030469064,0.07558795,426
9,79.66666667,0.03294564,0.000612734,0.026504396,0.028631566,0.032390935,0.014683249,444
8.122807018,74.54736842,0.345446199,0.052362416,0.066565769,0.8011209,0.031481421,0.107405109,1967
7.9000392,85.54927479,0.194009333,0.02336665,0.043723441,0.398722278,0.030239102,0.039968918,1062
7.80030722,84.34132104,0.218655973,0.025723022,0.045944762,0.466729186,0.030569144,0.054774451,975
7.650297619,82.52440476,0.251803665,0.032572933,0.048945557,0.564322948,0.032407351,0.072260874,1109
7.599816007,81.91297148,0.262170723,0.037024956,0.049874079,0.595875148,0.033337774,0.077266332,1115
7.840909091,85.16363636,0.264110681,0.032369885,0.059761842,0.668379481,0.03074061,0.082102279,782
7.795454545,83.34545455,0.268564166,0.033348642,0.058802343,0.729643467,0.03045227,0.092115109,1158
7.857142857,84.85238095,0.193885541,0.024310339,0.048126286,0.350120773,0.030094706,0.029478427,771
9,73.38,0.172452284,0.022922156,0.035426342,0.111863172,0.03188632,0.020020527,1464
8.31,81.374,0.263172962,0.034759314,0.056133149,0.651325589,0.003321395,0.081966457,955
8.157894737,74.58596491,0.344695946,0.052212566,0.059314995,0.665968529,0.031595752,0.08683699,1312
7.666666667,92.76666667,0.17181497,0.01517723,0.035111532,0.4377648,0.046118347,0.013946733,2991
7.433216608,89.43666833,0.237690162,0.024291293,0.040779521,0.600133636,0.045949902,0.056745313,3783
