G,delta_Xr,p,delta_Ew,epilson,delta,Delta,y
80.175,0.047854387,0.2875,0.056792969,0.386949717,0.003528884,0.015491304,734
80.26625,0.046721113,0.288625,0.056894649,0.379848818,0.005852502,0.015927018,745
80.3575,0.045550947,0.28975,0.056817567,0.371451983,0.01219211,0.016265752,765
80.44875,0.044341012,0.290875,0.056564389,0.36176012,0.01987806,0.0165095,825
80.78333333,0.039504826,0.295,0.054126588,0.315159755,0.039225846,0.016598258,923
71.85,0.026477734,0.3125,0.054094852,0.075098366,0.031480112,0.016376453,846
74.0225,0.032258677,0.307375,0.054915649,0.157184508,0.03092029,0.01663093,817
76.195,0.036701666,0.30225,0.055527997,0.230514946,0.029907781,0.016753668,846
78.3675,0.040240702,0.297125,0.055934693,0.295057585,0.028727142,0.016759386,856
86.33333333,0.048067105,0.278333333,0.055646699,0.455691256,0.021527278,0.015933371,891
80.425,0.046024702,0.2925,0.054094852,0.434503153,0.032199062,0.017995619,1018
80.45375,0.045387525,0.292375,0.054915649,0.413726992,0.031781221,0.017714039,1016
80.4825,0.044688073,0.29225,0.055527997,0.392846337,0.030753414,0.017398383,927
80.51125,0.043922895,0.292125,0.055934693,0.371861844,0.029183332,0.017047313,925
80.61666667,0.040482871,0.291666667,0.055646699,0.294041597,0.020632095,0.015429827,819
81.1075,0.043172585,0.28975,0.051529265,0.361187774,0.030940634,0.014836553,911
80.82375,0.043209198,0.290875,0.054151509,0.356910284,0.02925318,0.015827675,888
79.78333333,0.041996338,0.295,0.058848791,0.325326269,0.020511179,0.018131019,824
89.40661323,0.041866161,0.278016032,0.060061598,0.399256802,0.030811121,0.017084695,523
86.06,0.043088003,0.286,0.06152229,0.355100797,0.021097759,0.018225264,429
77.46415094,0.051213698,0.295283019,0.0596354,0.55597009,0.028370176,0.067404856,1104
87.05365854,0.04585212,0.281707317,0.062655338,0.481416005,0.028601857,0.044365239,317
82.90454545,0.053082824,0.286363636,0.066356022,0.705361958,0.032487253,0.086495618,460
68.22857143,0.053630464,0.317142857,0.062305649,0.727465206,0.053964749,0.120093251,927
84.90588235,0.049849859,0.284117647,0.064682018,0.601119236,0.029671553,0.069210157,281
83.22857143,0.052587874,0.286,0.066098469,0.688970697,0.03193942,0.08396881,505
77.29615385,0.051836104,0.294230769,0.064808434,0.508036466,0.003590948,0.057715509,946
76.33207547,0.054251313,0.295283019,0.065827813,0.571744718,0.004679213,0.070315988,1014
75.4037037,0.056404544,0.296296296,0.066748199,0.630699158,0.006103061,0.080718184,1316
74.50909091,0.058336106,0.297272727,0.067580098,0.685254128,0.007765462,0.089514563,1717
73.64642857,0.060077421,0.298214286,0.068332568,0.735736232,0.009583312,0.097065428,2127
72.81403509,0.061653575,0.299122807,0.069013474,0.782446372,0.011489041,0.103613926,2263
76.0625,0.059643484,0.3,0.070965285,0.808526211,0.019824651,0.113960752,1529
75.6,0.055208674,0.297272727,0.061433341,0.668546106,0.031703105,0.086135246,1349
80.54,0.043088003,0.292,0.056136089,0.350774194,0.027183855,0.016659303,777
88.575,0.042612413,0.28,0.061065355,0.391758677,0.02880502,0.01755404,507
78.359,0.054230617,0.2952,0.06636571,0.650232719,0.0248158,0.085339122,2033
75.55384615,0.044223613,0.306923077,0.064432542,0.427007482,0.033813867,0.089898191,637
88.105,0.037713323,0.268375,0.077635161,0.324299705,0.034713571,0.017778721,816
86.76,0.041283361,0.273,0.081607165,0.328068894,0.030402709,0.019780227,737
