Ti2CO2-TM,dGH,dM0-O0,dM1-O0,dM2-O0,dmM-O,ATi1-O-Ti2,ATi1-O-M,ATi2O-M,AmM-O-M,bO-O,epz,Med,Ti1ed,Ti2ed,Mmed,EFermi,CHO,CHM,CHTi1,CHTi2,CHMm,VM,VMm,BO,BM,BTi1,BTi2,BMm,FEIM,FEITi1,FEITi2,FEIMm,EAM,EAMm,PM,PMm,RM,RMm
Ag-S0,-0.85609935,2.261,1.897,1.897,2.018333333,103.606,92.129,92.129,95.95466667,3.431,-2.502674739,-4.5444,0.7877,0.7907,-0.988666667,-2.6288,7.008051,10.278826,10.031156,10.02326,10.11108067,11,11.66666667,1.008051,-0.721174,-1.968844,-1.97674,-1.555586,731,375.7,375.7,494.1333333,125.6,46.93333333,1.93,1.67,165,172.3333333
Ag-S1,-0.4608638,1.96,1.978,1.96,1.966,100.836,101.155,101.152,101.0476667,3.015,-2.648835077,0.7883,0.8493,0.7926,0.810066667,-2.6288,7.115856,10.023424,10.060439,10.031156,10.03833967,12,12,1.115856,-1.976576,-1.939561,-1.968844,-1.961660333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Ag-S2,-0.47461648,1.957,1.957,1.953,1.955666667,102.875,101.235,101.233,101.781,3.004,-2.727870104,0.7871,0.7066,0.7906,0.761433333,-2.6288,7.097845,10.031156,10.03036,10.052905,10.03814033,12,12,1.097845,-1.968844,-1.96964,-1.947095,-1.961859667,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Au-S0,-0.74686509,2.482,1.875,1.875,2.077333333,102.362,93.845,92.505,96.23733333,3.27,-2.790639567,-4.8594,0.6651,0.6533,-1.180333333,-2.4073,6.992373,10.369038,10.049511,10.026668,10.14840567,11,11.66666667,0.992373,-0.630962,-1.950489,-1.973332,-1.518261,890.1,375.7,375.7,547.1666667,222.8,79.33333333,2.54,1.873333333,174,175.3333333
Au-S1,-0.21375962,1.956,1.979,1.974,1.969666667,98.898,100.645,100.623,100.0553333,3.025,-2.728538438,0.6555,0.7693,0.6019,0.675566667,-2.4073,7.107465,10.050814,10.054204,10.049511,10.05150967,12,12,1.107465,-1.949186,-1.945796,-1.950489,-1.948490333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Au-S2,-0.15312428,1.945,1.964,1.959,1.956,102.323,100.062,100.91,101.0983333,3.033,-2.9506061,0.6555,0.7693,0.6019,0.675566667,-2.4073,7.093437,10.049511,10.029627,10.050425,10.04318767,12,12,1.093437,-1.950489,-1.970373,-1.949575,-1.956812333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Cd-S0,-1.00974241,2.203,1.906,1.906,2.005,103.871,94.98,94.98,97.94366667,3.618,-2.297557489,-6.8575,1.0608,1.0581,-1.579533333,-2.9402,7.058629,10.91657,10.038584,10.041095,10.332083,12,12,1.058629,-1.08343,-1.961416,-1.958905,-1.667917,867.8,375.7,375.7,539.7333333,0,5.066666667,1.69,1.59,161,171
Cd-S1,-0.62648962,1.965,1.969,1.965,1.966333333,100.837,101.098,101.093,101.0093333,3.011,-2.38432175,1.0549,1.1573,1.0608,1.091,-2.9402,7.11202,10.046335,10.054256,10.038584,10.04639167,12,12,1.11202,-1.953665,-1.945744,-1.961416,-1.953608333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Cd-S2,-0.71560585,1.961,1.961,1.934,1.952,101.93,101.88,101.872,101.894,3,-2.416444599,1.0537,1.1139,1.0589,1.0755,-2.9402,7.090216,10.038584,10.041282,10.037052,10.03897267,12,12,1.090216,-1.961416,-1.958718,-1.962948,-1.961027333,375.7,375.7,375.7,375.7,7.6,7.6,1.54,1.54,176,176
Co-S0,-0.65639116,2.052,1.909,1.909,1.956666667,100.906,97.803,97.802,98.837,2.912,-2.329291248,-1.2455,0.9029,0.9054,0.1876,-2.7197,7.016697,8.063366,10.038854,10.042713,9.381644333,9,11,1.016697,-0.936634,-1.961146,-1.957287,-1.618355667,760.4,375.7,375.7,503.9333333,63.7,26.3,1.88,1.653333333,152,168
