Ti2CO2-TM,dGH,dM0-O0,dM1-O0,AmM-O-M,bO-O,epz,Med,Ti2ed,Mmed,EFermi,CHM,VM,VMm,BM,FEIM,FEIMm,EAM,PM,RM
Ag-S0,-0.85609935,2.261,1.897,95.95466667,3.431,-2.502674739,-4.5444,0.7907,-0.988666667,-2.6288,10.278826,11,11.66666667,-0.721174,731,494.1333333,125.6,1.93,165
Ag-S1,-0.4608638,1.96,1.978,101.0476667,3.015,-2.648835077,0.7883,0.7926,0.810066667,-2.6288,10.023424,12,12,-1.976576,375.7,375.7,7.6,1.54,176
Ag-S2,-0.47461648,1.957,1.957,101.781,3.004,-2.727870104,0.7871,0.7906,0.761433333,-2.6288,10.031156,12,12,-1.968844,375.7,375.7,7.6,1.54,176
Au-S0,-0.74686509,2.482,1.875,96.23733333,3.27,-2.790639567,-4.8594,0.6533,-1.180333333,-2.4073,10.369038,11,11.66666667,-0.630962,890.1,547.1666667,222.8,2.54,174
Au-S1,-0.21375962,1.956,1.979,100.0553333,3.025,-2.728538438,0.6555,0.6019,0.675566667,-2.4073,10.050814,12,12,-1.949186,375.7,375.7,7.6,1.54,176
Au-S2,-0.15312428,1.945,1.964,101.0983333,3.033,-2.9506061,0.6555,0.6019,0.675566667,-2.4073,10.049511,12,12,-1.950489,375.7,375.7,7.6,1.54,176
Cd-S0,-1.00974241,2.203,1.906,97.94366667,3.618,-2.297557489,-6.8575,1.0581,-1.579533333,-2.9402,10.91657,12,12,-1.08343,867.8,539.7333333,0,1.69,161
Cd-S1,-0.62648962,1.965,1.969,101.0093333,3.011,-2.38432175,1.0549,1.0608,1.091,-2.9402,10.046335,12,12,-1.953665,375.7,375.7,7.6,1.54,176
Cd-S2,-0.71560585,1.961,1.961,101.894,3,-2.416444599,1.0537,1.0589,1.0755,-2.9402,10.038584,12,12,-1.961416,375.7,375.7,7.6,1.54,176
Co-S0,-0.65639116,2.052,1.909,98.837,2.912,-2.329291248,-1.2455,0.9054,0.1876,-2.7197,8.063366,9,11,-0.936634,760.4,503.9333333,63.7,1.88,152
Co-S1,-0.45996473,1.958,1.969,100.4176667,3.007,-2.637581876,0.9057,0.9091,0.900266667,-2.7197,10.043208,12,12,-1.956792,375.7,375.7,7.6,1.54,176
Co-S2,-0.41776365,1.959,1.959,100.6946667,3.019,-2.646454083,0.9052,0.9073,0.897666667,-2.7197,10.038854,12,12,-1.961146,375.7,375.7,7.6,1.54,176
Cr-S0,-0.40118437,2.052,1.923,98.577,2.941,-2.855651056,-0.2638,0.5696,0.291466667,-2.4542,10.501579,12,12,-1.498421,652.9,468.1,64.3,1.66,166
Cr-S1,-0.24384245,1.959,1.971,100.479,3.015,-2.958503919,0.5672,0.5664,0.590466667,-2.4542,10.040804,12,12,-1.959196,375.7,375.7,7.6,1.54,176
Cr-S2,-0.23580838,1.959,1.96,100.3756667,3.017,-2.933236697,0.5669,0.5666,0.6182,-2.4542,10.046244,12,12,-1.953756,375.7,375.7,7.6,1.54,176
Cu-S0,-0.83375736,2.154,1.888,97.49766667,3.149,-2.473076388,-2.9372,0.7802,-0.459333333,-2.7729,10.10985,11,11.66666667,-0.89015,745.5,498.9666667,118.4,1.9,145
Cu-S1,-0.39191251,1.955,1.977,100.7066667,3.006,-2.628552218,0.7767,0.7831,0.808666667,-2.7729,10.031645,12,12,-1.968355,375.7,375.7,7.6,1.54,176
Cu-S2,-0.50522517,1.964,1.964,101.602,3.009,-2.589335448,0.7788,0.7834,0.8042,-2.7729,10.023813,12,12,-1.976187,375.7,375.7,7.6,1.54,176
Fe-S0,-0.3749933,2.075,1.911,98.45566667,2.924,-2.779785824,-1.5913,0.4044,-0.2588,-2.4164,6.8945,8,10.66666667,-1.1055,762.5,504.6333333,15.7,1.83,156
Fe-S1,-0.18110057,1.959,1.971,100.597,3.016,-3.072916446,0.4071,0.4032,0.423866667,-2.4164,10.04021,12,12,-1.95979,375.7,375.7,7.6,1.54,176
Fe-S2,-0.13006822,1.954,1.954,100.374,3.022,-3.044352059,0.4112,0.3992,0.467566667,-2.4164,10.037916,12,12,-1.962084,375.7,375.7,7.6,1.54,176
Hf-S0,0.24053049,2.032,1.987,99.71466667,3.23,-3.390525572,-2.6582,0.5335,-0.5305,-2.1884,7.771193,10,11.33333333,-2.228807,658.5,469.9666667,0,1.3,208
Hf-S1,0.10605112,1.978,1.957,100.134,3.012,-3.003558165,0.5338,0.5331,0.525166667,-2.1884,10.063108,12,12,-1.936892,375.7,375.7,7.6,1.54,176
